profile_id,metric,week,p25,median,p75
ono_v3_calibrated,price,0,0.100000,0.100000,0.100000
ono_v3_calibrated,price,1,0.036788,0.036788,0.036788
ono_v3_calibrated,price,2,0.013534,0.013534,0.013534
ono_v3_calibrated,price,3,0.004979,0.004979,0.004979
ono_v3_calibrated,price,4,0.001832,0.001832,0.001832
ono_v3_calibrated,price,5,0.000674,0.000674,0.000674
ono_v3_calibrated,price,6,0.000248,0.000248,0.000248
ono_v3_calibrated,price,7,0.000100,0.000100,0.000100
ono_v3_calibrated,price,8,0.000272,0.000272,0.000272
ono_v3_calibrated,price,9,0.000100,0.000100,0.000100
ono_v3_calibrated,price,10,0.000272,0.000272,0.000272
ono_v3_calibrated,price,11,0.000100,0.000100,0.000100
ono_v3_calibrated,price,12,0.000272,0.000272,0.000272
ono_v3_calibrated,price,13,0.000100,0.000100,0.000100
ono_v3_calibrated,price,14,0.000272,0.000272,0.000272
ono_v3_calibrated,price,15,0.000100,0.000100,0.000100
ono_v3_calibrated,price,16,0.000272,0.000272,0.000272
ono_v3_calibrated,price,17,0.000100,0.000100,0.000100
ono_v3_calibrated,price,18,0.000272,0.000272,0.000272
ono_v3_calibrated,price,19,0.000100,0.000100,0.000100
ono_v3_calibrated,price,20,0.000272,0.000272,0.000272
ono_v3_calibrated,price,21,0.000100,0.000100,0.000100
ono_v3_calibrated,price,22,0.000272,0.000272,0.000272
ono_v3_calibrated,price,23,0.000100,0.000100,0.000100
ono_v3_calibrated,price,24,0.000272,0.000272,0.000272
ono_v3_calibrated,price,25,0.000100,0.000100,0.000100
ono_v3_calibrated,price,26,0.000272,0.000272,0.000272
ono_v3_calibrated,price,27,0.000100,0.000100,0.000100
ono_v3_calibrated,price,28,0.000272,0.000272,0.000272
ono_v3_calibrated,price,29,0.000100,0.000100,0.000100
ono_v3_calibrated,price,30,0.000272,0.000272,0.000272
ono_v3_calibrated,price,31,0.000100,0.000100,0.000100
ono_v3_calibrated,price,32,0.000272,0.000272,0.000272
ono_v3_calibrated,price,33,0.000100,0.000100,0.000100
ono_v3_calibrated,price,34,0.000272,0.000272,0.000272
ono_v3_calibrated,price,35,0.000100,0.000100,0.000100
ono_v3_calibrated,price,36,0.000272,0.000272,0.000272
ono_v3_calibrated,price,37,0.000100,0.000100,0.000100
ono_v3_calibrated,price,38,0.000272,0.000272,0.000272
ono_v3_calibrated,price,39,0.000100,0.000100,0.000100
ono_v3_calibrated,price,40,0.000272,0.000272,0.000272
ono_v3_calibrated,price,41,0.000100,0.000100,0.000100
ono_v3_calibrated,price,42,0.000272,0.000272,0.000272
ono_v3_calibrated,price,43,0.000100,0.000100,0.000100
ono_v3_calibrated,price,44,0.000272,0.000272,0.000272
ono_v3_calibrated,price,45,0.000739,0.000739,0.000739
ono_v3_calibrated,price,46,0.000272,0.000272,0.000272
ono_v3_calibrated,price,47,0.000739,0.000739,0.000739
ono_v3_calibrated,price,48,0.002009,0.002009,0.002009
ono_v3_calibrated,price,49,0.005460,0.005460,0.005460
ono_v3_calibrated,price,50,0.002009,0.002009,0.002009
ono_v3_calibrated,price,51,0.005460,0.005460,0.005460
ono_v3_calibrated,supply,0,414632734.815182,414632739.279642,414632743.659007
ono_v3_calibrated,supply,1,419261982.946681,419261997.605994,419262011.984095
ono_v3_calibrated,supply,2,423876150.363107,423876168.628329,423876185.741168
ono_v3_calibrated,supply,3,428415357.675527,428415407.971042,428415461.981030
ono_v3_calibrated,supply,4,432752841.714219,432752921.944205,432753018.074104
ono_v3_calibrated,supply,5,436542524.445576,436542675.333966,436542792.275155
ono_v3_calibrated,supply,6,438841312.706560,438841508.732360,438841654.588704
ono_v3_calibrated,supply,7,437651001.920584,437651232.946384,437651413.802729
ono_v3_calibrated,supply,8,440159356.403756,440159619.908946,440159833.285900
ono_v3_calibrated,supply,9,438970490.617780,438970789.122970,438971022.499924
ono_v3_calibrated,supply,10,441480145.100951,441480473.606142,441480726.983096
ono_v3_calibrated,supply,11,440292449.314976,440292801.977775,440293076.197120
ono_v3_calibrated,supply,12,442803158.798147,442803526.460947,442803825.680291
