profile_id,metric,week,p25,median,p75
ono_v3_calibrated,price,0,0.100000,0.100000,0.100000
ono_v3_calibrated,price,1,0.036788,0.036788,0.036788
ono_v3_calibrated,price,2,0.013534,0.013534,0.013534
ono_v3_calibrated,price,3,0.004979,0.004979,0.004979
ono_v3_calibrated,price,4,0.001832,0.001832,0.001832
ono_v3_calibrated,price,5,0.000674,0.000674,0.000674
ono_v3_calibrated,price,6,0.000248,0.000248,0.000248
ono_v3_calibrated,price,7,0.000100,0.000100,0.000100
ono_v3_calibrated,price,8,0.000272,0.000272,0.000272
ono_v3_calibrated,price,9,0.000100,0.000100,0.000100
ono_v3_calibrated,supply,0,414632728.508997,414632743.582455,414632743.582455
ono_v3_calibrated,supply,1,419261962.236800,419262011.732778,419262011.732778
ono_v3_calibrated,supply,2,423876170.472646,423876179.968623,423876179.968623
ono_v3_calibrated,supply,3,428415353.791647,428415489.295670,428415489.295670
ono_v3_calibrated,supply,4,432752813.827978,432753104.332000,432753104.332000
ono_v3_calibrated,supply,5,436542501.061252,436542926.565274,436542926.565274
ono_v3_calibrated,supply,6,438841286.833344,438841832.337366,438841832.337366
ono_v3_calibrated,supply,7,437650976.047368,437651626.551390,437651626.551390
ono_v3_calibrated,supply,8,440159330.530539,440160076.034562,440160076.034562
ono_v3_calibrated,supply,9,438970464.744564,438971295.248586,438971295.248586
ono_v3_calibrated,minted,0,4657309.214024,4657309.214024,4657309.214024
ono_v3_calibrated,minted,1,4657309.214024,4657309.214024,4657309.214024
ono_v3_calibrated,minted,2,4657394.214024,4657434.214024,4657434.214024
ono_v3_calibrated,minted,3,4656674.214024,4656819.214024,4656819.214024
ono_v3_calibrated,minted,4,4656859.214024,4657014.214024,4657014.214024
ono_v3_calibrated,minted,5,4657904.214024,4658039.214024,4658039.214024
ono_v3_calibrated,minted,6,4658844.214024,4658964.214024,4658964.214024
ono_v3_calibrated,minted,7,4659689.214024,4659794.214024,4659794.214024
ono_v3_calibrated,minted,8,4660449.214024,4660544.214024,4660544.214024
ono_v3_calibrated,minted,9,4661134.214024,4661219.214024,4661219.214024
ono_v3_calibrated,burned,0,24565.631569,24580.705027,24580.705027
ono_v3_calibrated,burned,1,28041.063702,28075.486221,28075.486221
ono_v3_calibrated,burned,2,43225.978179,43225.978179,43225.978179
ono_v3_calibrated,burned,3,117500.391001,117500.391001,117500.391001
ono_v3_calibrated,burned,4,319399.177694,319399.177694,319399.177694
ono_v3_calibrated,burned,5,868216.980750,868216.980750,868216.980750
ono_v3_calibrated,burned,6,2360058.441933,2360058.441933,2360058.441933
ono_v3_calibrated,burned,7,5850000.000000,5850000.000000,5850000.000000
ono_v3_calibrated,burned,8,2152094.730853,2152094.730853,2152094.730853
ono_v3_calibrated,burned,9,5850000.000000,5850000.000000,5850000.000000
ono_v3_calibrated,providers,0,3000.000000,3000.000000,3000.000000
ono_v3_calibrated,providers,1,3000.000000,3000.000000,3000.000000
ono_v3_calibrated,providers,2,2962.500000,2974.500000,2974.500000
ono_v3_calibrated,providers,3,3147.000000,3190.500000,3190.500000
ono_v3_calibrated,providers,4,3088.500000,3135.000000,3135.000000
ono_v3_calibrated,providers,5,2781.000000,2821.500000,2821.500000
ono_v3_calibrated,providers,6,2503.500000,2539.500000,2539.500000
ono_v3_calibrated,providers,7,2254.500000,2286.000000,2286.000000
ono_v3_calibrated,providers,8,2029.500000,2058.000000,2058.000000
ono_v3_calibrated,providers,9,1827.000000,1852.500000,1852.500000
ono_v3_calibrated,capacity,0,535104.014586,542023.754914,542023.754914
ono_v3_calibrated,capacity,1,535104.014586,542023.754914,542023.754914
ono_v3_calibrated,capacity,2,529598.227626,538308.217868,538308.217868
ono_v3_calibrated,capacity,3,565280.343286,577390.069044,577390.069044
ono_v3_calibrated,capacity,4,555933.030539,567598.667390,567598.667390
ono_v3_calibrated,capacity,5,501285.688497,509886.879565,509886.879565
ono_v3_calibrated,capacity,6,451088.523089,459342.325515,459342.325515
ono_v3_calibrated,capacity,7,406802.888568,413476.221044,413476.221044
