week,profile_id,sim_index,metric,value
0,ono_v3_calibrated,0,price,0.100000
0,ono_v3_calibrated,0,supply,414632728.508997
0,ono_v3_calibrated,0,minted,4657309.214024
0,ono_v3_calibrated,0,burned,24580.705027
0,ono_v3_calibrated,0,providers,3000.000000
0,ono_v3_calibrated,0,capacity,535104.014586
0,ono_v3_calibrated,0,utilization,3.363832
0,ono_v3_calibrated,0,solvencyScore,0.005278
0,ono_v3_calibrated,0,profit_avg_provider,124.633013
0,ono_v3_calibrated,0,incentive_ratio,0.500000
0,ono_v3_calibrated,0,retention_absolute,1.000000
0,ono_v3_calibrated,0,retention_rate,1.000000
1,ono_v3_calibrated,0,price,0.036788
1,ono_v3_calibrated,0,supply,419261962.236800
1,ono_v3_calibrated,0,minted,4657309.214024
1,ono_v3_calibrated,0,burned,28075.486221
1,ono_v3_calibrated,0,providers,3000.000000
1,ono_v3_calibrated,0,capacity,535104.014586
1,ono_v3_calibrated,0,utilization,3.363832
1,ono_v3_calibrated,0,solvencyScore,0.006028
1,ono_v3_calibrated,0,profit_avg_provider,26.500316
1,ono_v3_calibrated,0,incentive_ratio,0.500000
1,ono_v3_calibrated,0,retention_absolute,1.000000
1,ono_v3_calibrated,0,retention_rate,1.000000
2,ono_v3_calibrated,0,price,0.013534
2,ono_v3_calibrated,0,supply,423876170.472646
2,ono_v3_calibrated,0,minted,4657434.214024
2,ono_v3_calibrated,0,burned,43225.978179
2,ono_v3_calibrated,0,providers,2962.500000
2,ono_v3_calibrated,0,capacity,529598.227626
2,ono_v3_calibrated,0,utilization,3.398803
2,ono_v3_calibrated,0,solvencyScore,0.009281
2,ono_v3_calibrated,0,profit_avg_provider,-9.119346
2,ono_v3_calibrated,0,incentive_ratio,0.500000
2,ono_v3_calibrated,0,retention_absolute,0.987500
2,ono_v3_calibrated,0,retention_rate,0.987500
3,ono_v3_calibrated,0,price,0.004979
3,ono_v3_calibrated,0,supply,428415489.295670
3,ono_v3_calibrated,0,minted,4656819.214024
3,ono_v3_calibrated,0,burned,117500.391001
3,ono_v3_calibrated,0,providers,3147.000000
3,ono_v3_calibrated,0,capacity,565280.343286
3,ono_v3_calibrated,0,utilization,3.184261
3,ono_v3_calibrated,0,solvencyScore,0.025232
3,ono_v3_calibrated,0,profit_avg_provider,-22.574426
3,ono_v3_calibrated,0,incentive_ratio,0.500000
3,ono_v3_calibrated,0,retention_absolute,1.049000
3,ono_v3_calibrated,0,retention_rate,0.910380
4,ono_v3_calibrated,0,price,0.001832
4,ono_v3_calibrated,0,supply,432753104.332000
4,ono_v3_calibrated,0,minted,4657014.214024
4,ono_v3_calibrated,0,burned,319399.177694
4,ono_v3_calibrated,0,providers,3088.500000
4,ono_v3_calibrated,0,capacity,555933.030539
4,ono_v3_calibrated,0,utilization,3.237800
4,ono_v3_calibrated,0,solvencyScore,0.068585
4,ono_v3_calibrated,0,profit_avg_provider,-27.167804
4,ono_v3_calibrated,0,incentive_ratio,0.500000
4,ono_v3_calibrated,0,retention_absolute,1.029500
4,ono_v3_calibrated,0,retention_rate,0.900381
5,ono_v3_calibrated,0,price,0.000674
5,ono_v3_calibrated,0,supply,436542926.565274
5,ono_v3_calibrated,0,minted,4658039.214024
5,ono_v3_calibrated,0,burned,868216.980750
5,ono_v3_calibrated,0,providers,2781.000000
5,ono_v3_calibrated,0,capacity,501285.688497
5,ono_v3_calibrated,0,utilization,3.590767
5,ono_v3_calibrated,0,solvencyScore,0.186391
5,ono_v3_calibrated,0,profit_avg_provider,-28.835749
5,ono_v3_calibrated,0,incentive_ratio,0.500000
5,ono_v3_calibrated,0,retention_absolute,0.927000
5,ono_v3_calibrated,0,retention_rate,0.900437
6,ono_v3_calibrated,0,price,0.000248
6,ono_v3_calibrated,0,supply,438841832.337366
6,ono_v3_calibrated,0,minted,4658964.214024
6,ono_v3_calibrated,0,burned,2360058.441933
6,ono_v3_calibrated,0,providers,2503.500000
6,ono_v3_calibrated,0,capacity,451088.523089
6,ono_v3_calibrated,0,utilization,3.990348
6,ono_v3_calibrated,0,solvencyScore,0.506563
6,ono_v3_calibrated,0,profit_avg_provider,-29.307631
6,ono_v3_calibrated,0,incentive_ratio,4.174788
6,ono_v3_calibrated,0,retention_absolute,0.834500
6,ono_v3_calibrated,0,retention_rate,0.900216
7,ono_v3_calibrated,0,price,0.000100
7,ono_v3_calibrated,0,supply,437651626.551390
7,ono_v3_calibrated,0,minted,4659794.214024
7,ono_v3_calibrated,0,burned,5850000.000000
7,ono_v3_calibrated,0,providers,2254.500000
7,ono_v3_calibrated,0,capacity,406802.888568
7,ono_v3_calibrated,0,utilization,4.424747
7,ono_v3_calibrated,0,solvencyScore,1.255420
7,ono_v3_calibrated,0,profit_avg_provider,-29.396406
7,ono_v3_calibrated,0,incentive_ratio,0.903698
7,ono_v3_calibrated,0,retention_absolute,0.751500
7,ono_v3_calibrated,0,retention_rate,0.900539
8,ono_v3_calibrated,0,price,0.000272
8,ono_v3_calibrated,0,supply,440160076.034562
8,ono_v3_calibrated,0,minted,4660544.214024
8,ono_v3_calibrated,0,burned,2152094.730853
8,ono_v3_calibrated,0,providers,2029.500000
8,ono_v3_calibrated,0,capacity,366004.502043
8,ono_v3_calibrated,0,utilization,4.917972
8,ono_v3_calibrated,0,solvencyScore,0.461769
8,ono_v3_calibrated,0,profit_avg_provider,-29.004277
8,ono_v3_calibrated,0,incentive_ratio,-0.290785
8,ono_v3_calibrated,0,retention_absolute,0.676500
8,ono_v3_calibrated,0,retention_rate,0.900200
9,ono_v3_calibrated,0,price,0.000100
9,ono_v3_calibrated,0,supply,438971295.248586
9,ono_v3_calibrated,0,minted,4661219.214024
9,ono_v3_calibrated,0,burned,5850000.000000
9,ono_v3_calibrated,0,providers,1827.000000
9,ono_v3_calibrated,0,capacity,328161.489352
9,ono_v3_calibrated,0,utilization,5.485104
9,ono_v3_calibrated,0,solvencyScore,1.255036
9,ono_v3_calibrated,0,profit_avg_provider,-29.594134
